logwavrest logwavobs lognuLnu logfnu
-2.917 -2.072 0.561 -13.024
-2.906 -2.061 0.005 -13.569
-2.895 -2.05 -0.588 -14.151
-2.885 -2.04 -1.222 -14.775
-2.874 -2.029 -1.901 -15.443
-2.863 -2.018 -2.615 -16.146
-2.853 -2.007 -3.375 -16.895
-2.842 -1.997 -2.436 -15.946
-2.831 -1.986 -3.131 -16.63
-2.82 -1.975 -3.89 -17.378
-2.81 -1.965 -4.717 -18.195
-2.799 -1.954 -5.621 -19.088
-2.788 -1.943 -6.609 -20.065
-2.777 -1.932 -7.688 -21.134
-2.767 -1.922 -8.858 -22.293
-2.756 -1.911 -8.371 -21.795
-2.745 -1.9 -9.404 -22.817
-2.735 -1.889 -10.654 -24.057
-2.724 -1.879 -11.996 -25.388
-2.713 -1.868 -13.435 -26.816
-2.702 -1.857 -14.98 -28.351
-2.692 -1.847 -16.639 -29.998
-2.681 -1.836 -18.419 -31.768
-2.67 -1.825 -20.33 -33.668
-2.66 -1.814 -22.295 -35.622
-2.649 -1.804 -24.378 -37.695
-2.638 -1.793 -26.632 -39.938
-2.627 -1.782 -13.878 -27.173
-2.617 -1.772 -15.555 -28.839
-2.606 -1.761 -17.363 -30.637
-2.595 -1.75 -19.312 -32.575
-2.584 -1.739 -21.413 -34.666
-2.574 -1.729 -23.678 -36.92
-2.563 -1.718 -26.095 -39.326
-2.552 -1.707 -28.529 -41.749
-2.542 -1.696 -31.199 -44.409
-2.531 -1.686 -34.107 -47.306
-2.52 -1.675 -37.258 -50.447
-2.509 -1.664 -39.897 -53.075
-2.499 -1.654 -42.264 -55.431
-2.488 -1.643 -46.104 -59.26
-2.477 -1.632 -50.253 -63.398
-2.466 -1.621 -54.734 -67.869
-2.456 -1.611 -59.044 -72.168
-2.445 -1.6 -63.821 -76.934
-2.434 -1.589 -69.161 -82.263
-2.424 -1.578 -74.993 -88.085
-2.413 -1.568 -81.324 -94.405
-2.402 -1.557 -88.179 -101.249
-2.391 -1.546 -95.59 -108.65
-2.381 -1.536 -103.598 -116.647
-2.37 -1.525 -112.246 -125.284
-2.359 -1.514 -103.776 -116.803
-2.349 -1.503 -110.654 -123.67
-2.338 -1.493 -119.7 -132.706
-2.327 -1.482 -129.529 -142.524
-2.316 -1.471 -140.111 -153.095
-2.306 -1.461 -151.469 -164.443
-2.295 -1.45 -163.647 -176.61
-2.284 -1.439 -176.693 -189.645
-2.273 -1.428 -190.664 -203.606
-2.263 -1.418 -205.622 -218.553
-2.252 -1.407 -217.546 -230.466
-2.241 -1.396 -233.804 -246.713
-2.231 -1.385 -251.539 -264.437
-2.22 -1.375 -270.61 -283.498
-2.209 -1.364 -291.063 -303.94
-2.198 -1.353 -312.975 -99.0
-2.188 -1.343 -99.0 -99.0
-2.177 -1.332 -99.0 -99.0
-2.166 -1.321 -99.0 -99.0
-2.155 -1.31 -99.0 -99.0
-2.145 -1.3 -99.0 -99.0
-2.134 -1.289 -99.0 -99.0
-2.123 -1.278 -99.0 -99.0
-2.113 -1.268 -99.0 -99.0
-2.102 -1.257 -99.0 -99.0
-2.091 -1.246 -99.0 -99.0
-2.08 -1.235 -99.0 -99.0
-2.07 -1.225 -99.0 -99.0
-2.059 -1.214 -99.0 -99.0
-2.048 -1.203 -99.0 -99.0
-2.038 -1.192 -99.0 -99.0
